WBRatio,OPC,PPC,DAYS,CO2,STRENGTH,source,cluster
0.44,400,0,28,0.17,42.92,synthetic,0
0.53,0,400,7,0.14,53.68,synthetic,1
0.35,500,0,7,0.11,35.91,synthetic,0
0.35,500,0,7,0.09,26.26,synthetic,0
0.35,500,0,56,0.08,40.3,synthetic,0
0.43,350,0,7,0.07,44.72,synthetic,0
0.37,500,0,56,0.08,42.64,synthetic,0
0.52,350,0,7,0.12,38.47,synthetic,0
0.43,400,0,56,0.08,54.78,synthetic,0
0.35,0,400,7,0.04,39.5,synthetic,1
0.35,0,500,28,0.18,40.72,synthetic,1
0.46,0,400,56,0.03,63.12,synthetic,1
0.53,500,0,7,0.14,43.92,synthetic,0
0.44,0,400,56,0.05,46.88,synthetic,1
0.45,350,0,7,0.16,52.61,synthetic,0
0.44,0,500,7,0.04,41.56,synthetic,1
0.37,500,0,28,0.13,33.37,synthetic,0
0.5,0,350,28,0.14,53.82,synthetic,1
0.54,0,350,28,0.0,54.47,synthetic,1
0.55,400,0,56,0.09,47.99,synthetic,0
0.55,350,0,28,0.08,52.98,synthetic,0
0.55,350,0,56,0.17,36.94,synthetic,0
0.55,0,400,7,0.02,17.38,synthetic,1
0.54,0,500,56,0.11,37.46,synthetic,1
0.35,0,400,56,0.0,63.12,synthetic,1
0.53,500,0,56,0.06,37.49,synthetic,0
0.54,0,350,7,0.04,63.12,synthetic,1
0.45,500,0,7,0.15,48.03,synthetic,0
0.35,0,350,7,0.11,54.33,synthetic,1
0.35,400,0,28,0.16,44.51,synthetic,0
0.43,400,0,7,0.16,45.91,synthetic,0
0.35,0,350,56,0.08,52.18,synthetic,1
0.44,400,0,7,0.04,49.11,synthetic,0
0.35,0,400,56,0.08,59.24,synthetic,1
0.35,0,400,7,0.12,42.77,synthetic,1
0.47,0,400,28,0.07,48.44,synthetic,1
0.55,0,400,7,0.14,34.25,synthetic,1
0.53,500,0,56,0.18,40.61,synthetic,0
0.35,0,400,56,0.07,13.56,synthetic,1
0.35,0,500,28,0.03,41.74,synthetic,1
0.51,400,0,7,0.1,41.2,synthetic,0
0.35,0,350,28,0.02,40.41,synthetic,1
0.44,0,500,56,0.0,39.65,synthetic,1
0.55,500,0,7,0.13,25.59,synthetic,0
0.44,0,400,7,0.1,31.25,synthetic,1
0.55,350,0,56,0.08,47.33,synthetic,0
0.44,0,400,56,0.03,49.63,synthetic,1
0.35,500,0,56,0.18,62.36,synthetic,0
0.55,400,0,28,0.13,44.09,synthetic,0
0.35,500,0,7,0.0,52.79,synthetic,0
0.35,500,0,7,0.19,27.13,synthetic,0
0.35,0,500,56,0.2,38.42,synthetic,1
0.51,0,400,7,0.18,47.77,synthetic,1
0.52,0,350,56,0.12,30.87,synthetic,1
0.51,0,400,28,0.11,34.1,synthetic,1
0.35,0,350,7,0.16,28.88,synthetic,1
0.35,400,0,28,0.05,54.61,synthetic,0
0.35,350,0,7,0.01,29.96,synthetic,0
0.54,350,0,28,0.18,62.34,synthetic,0
0.46,350,0,56,0.13,28.64,synthetic,0
0.53,0,350,7,0.08,35.2,synthetic,1
0.53,350,0,28,0.03,13.56,synthetic,0
0.53,0,500,56,0.09,39.11,synthetic,1
0.54,0,500,56,0.03,37.7,synthetic,1
0.35,500,0,7,0.04,13.56,synthetic,0
0.35,0,350,28,0.0,52.82,synthetic,1
0.45,0,400,7,0.0,63.12,synthetic,1
0.51,0,500,7,0.04,27.94,synthetic,1
0.35,0,400,56,0.04,31.53,synthetic,1
0.54,400,0,28,0.12,42.58,synthetic,0
0.53,0,350,56,0.0,49.38,synthetic,1
0.42,500,0,56,0.15,29.63,synthetic,0
0.44,350,0,7,0.16,48.79,synthetic,0
0.54,350,0,56,0.11,63.12,synthetic,0
0.44,500,0,7,0.02,40.65,synthetic,0
0.35,0,400,28,0.05,34.81,synthetic,1
0.43,0,350,56,0.07,31.24,synthetic,1
0.35,350,0,56,0.02,33.27,synthetic,0
0.44,500,0,56,0.06,25.26,synthetic,0
0.45,400,0,56,0.09,42.38,synthetic,0
0.44,0,350,28,0.2,13.56,synthetic,1
0.53,0,350,56,0.19,28.17,synthetic,1
0.51,350,0,56,0.2,63.12,synthetic,0
0.35,500,0,7,0.2,46.4,synthetic,0
0.35,0,400,56,0.13,37.11,synthetic,1
0.35,500,0,56,0.19,32.05,synthetic,0
0.5,500,0,28,0.06,39.42,synthetic,0
0.44,350,0,7,0.05,44.12,synthetic,0
0.44,0,400,56,0.02,35.86,synthetic,1
0.35,0,350,7,0.2,33.9,synthetic,1
0.55,0,500,56,0.2,47.57,synthetic,1
0.35,400,0,28,0.08,38.69,synthetic,0
0.43,0,350,28,0.15,37.66,synthetic,1
0.35,400,0,56,0.05,40.33,synthetic,0
0.46,0,400,7,0.02,42.18,synthetic,1
0.52,0,350,7,0.0,39.42,synthetic,1
0.5,0,350,28,0.17,27.11,synthetic,1
0.53,400,0,7,0.0,46.25,synthetic,0
0.35,500,0,7,0.03,37.28,synthetic,0
0.52,500,0,28,0.01,42.94,synthetic,0
0.35,400,0,7,0.15,15.53,synthetic,0
0.35,0,400,56,0.02,37.14,synthetic,1
0.46,0,350,28,0.02,18.41,synthetic,1
0.35,0,400,56,0.03,47.98,synthetic,1
0.36,350,0,28,0.02,15.64,synthetic,0
0.47,350,0,28,0.07,29.74,synthetic,0
0.42,500,0,28,0.0,40.89,synthetic,0
0.37,0,350,7,0.16,15.21,synthetic,1
0.35,0,500,56,0.05,21.89,synthetic,1
0.55,500,0,28,0.03,40.11,synthetic,0
0.35,500,0,7,0.06,47.69,synthetic,0
0.52,500,0,56,0.17,39.63,synthetic,0
0.35,0,350,7,0.07,25.53,synthetic,1
0.44,350,0,7,0.19,41.28,synthetic,0
0.53,350,0,56,0.1,46.36,synthetic,0
0.42,0,500,28,0.18,31.38,synthetic,1
0.42,0,400,56,0.03,63.12,synthetic,1
0.55,500,0,56,0.15,24.9,synthetic,0
0.36,350,0,56,0.16,33.63,synthetic,0
0.35,500,0,7,0.05,35.7,synthetic,0
0.38,400,0,28,0.18,24.2,synthetic,0
0.51,0,500,56,0.0,25.47,synthetic,1
0.45,0,350,56,0.16,30.54,synthetic,1
0.44,400,0,28,0.12,53.87,synthetic,0
0.52,500,0,7,0.14,51.61,synthetic,0
0.36,350,0,7,0.05,41.46,synthetic,0
0.35,0,350,56,0.05,32.3,synthetic,1
0.5,0,500,7,0.03,49.14,synthetic,1
0.36,500,0,56,0.11,21.82,synthetic,0
0.35,400,0,28,0.19,50.27,synthetic,0
0.53,0,500,7,0.06,45.14,synthetic,1
0.42,0,350,56,0.04,38.58,synthetic,1
0.5,400,0,28,0.17,50.92,synthetic,0
0.35,0,350,28,0.2,22.57,synthetic,1
0.35,500,0,28,0.05,63.12,synthetic,0
0.52,0,400,7,0.04,25.99,synthetic,1
0.44,500,0,7,0.16,63.12,synthetic,0
0.46,350,0,28,0.15,46.41,synthetic,0
0.35,400,0,28,0.0,50.27,synthetic,0
0.35,400,0,28,0.04,49.3,synthetic,0
0.54,400,0,56,0.03,54.53,synthetic,0
0.51,0,500,7,0.02,29.77,synthetic,1
0.35,0,400,28,0.05,45.73,synthetic,1
0.53,350,0,28,0.05,26.26,synthetic,0
0.52,0,500,7,0.1,41.25,synthetic,1
0.35,0,500,7,0.05,48.43,synthetic,1
0.35,500,0,28,0.13,32.65,synthetic,0
0.52,0,350,56,0.05,27.06,synthetic,1
0.39,500,0,56,0.02,36.04,synthetic,0
0.53,500,0,7,0.16,32.55,synthetic,0
0.42,500,0,7,0.14,34.84,synthetic,0
0.42,0,500,7,0.01,50.62,synthetic,1
0.54,350,0,56,0.02,54.84,synthetic,0
0.43,0,350,28,0.05,39.79,synthetic,1
0.35,500,0,28,0.05,63.12,synthetic,0
0.36,0,500,56,0.06,50.64,synthetic,1
0.35,400,0,28,0.2,36.57,synthetic,0
0.44,0,400,28,0.05,38.43,synthetic,1
0.52,0,500,7,0.13,43.57,synthetic,1
0.55,350,0,56,0.19,63.12,synthetic,0
0.52,0,350,7,0.0,37.14,synthetic,1
0.54,0,500,28,0.04,31.83,synthetic,1
0.55,0,400,56,0.05,62.44,synthetic,1
0.43,350,0,56,0.2,38.45,synthetic,0
0.51,350,0,56,0.18,45.11,synthetic,0
0.51,400,0,56,0.0,53.05,synthetic,0
0.35,500,0,7,0.14,29.26,synthetic,0
0.38,0,500,28,0.04,39.6,synthetic,1
0.35,0,350,28,0.03,24.7,synthetic,1
0.51,0,350,7,0.11,18.8,synthetic,1
0.44,350,0,28,0.01,22.64,synthetic,0
0.45,0,400,56,0.08,21.8,synthetic,1
0.55,0,400,7,0.08,56.98,synthetic,1
0.35,400,0,56,0.03,47.51,synthetic,0
0.54,0,500,56,0.07,63.12,synthetic,1
0.35,350,0,7,0.02,37.93,synthetic,0
0.55,350,0,28,0.2,38.67,synthetic,0
0.44,0,400,7,0.0,13.92,synthetic,1
0.38,0,400,7,0.07,55.73,synthetic,1
0.35,0,400,7,0.09,42.98,synthetic,1
0.36,350,0,56,0.07,21.61,synthetic,0
0.52,0,500,28,0.08,21.45,synthetic,1
0.36,0,350,28,0.04,52.75,synthetic,1
0.36,500,0,28,0.03,40.73,synthetic,0
0.43,0,400,7,0.17,43.35,synthetic,1
0.55,500,0,56,0.01,61.87,synthetic,0
0.55,500,0,7,0.03,39.41,synthetic,0
0.52,0,400,56,0.11,49.49,synthetic,1
0.35,500,0,7,0.06,29.31,synthetic,0
0.35,400,0,7,0.04,49.04,synthetic,0
0.55,500,0,28,0.13,39.34,synthetic,0
0.35,0,400,56,0.12,41.5,synthetic,1
0.45,400,0,7,0.15,46.01,synthetic,0
0.53,0,400,56,0.0,33.17,synthetic,1
0.35,0,350,56,0.04,63.12,synthetic,1
0.55,0,400,7,0.16,52.7,synthetic,1
0.35,0,400,56,0.19,63.12,synthetic,1
0.52,500,0,7,0.06,63.12,synthetic,0
0.53,0,350,56,0.12,28.76,synthetic,1
0.35,0,400,56,0.09,56.18,synthetic,1
0.45,0,400,7,0.12,40.11,synthetic,1
0.37,0,500,56,0.02,19.13,synthetic,1
0.46,400,0,7,0.0,43.58,synthetic,0
0.53,500,0,56,0.06,36.61,synthetic,0
0.45,500,0,56,0.2,31.24,synthetic,0
0.45,0,500,56,0.01,44.71,synthetic,1
0.35,0,350,7,0.16,51.85,synthetic,1
0.51,0,400,56,0.0,28.7,synthetic,1
0.43,0,400,56,0.07,48.33,synthetic,1
0.43,350,0,28,0.13,39.65,synthetic,0
0.54,500,0,28,0.06,52.71,synthetic,0
0.36,0,350,7,0.17,49.35,synthetic,1
0.54,0,400,7,0.05,26.09,synthetic,1
0.43,350,0,28,0.08,27.59,synthetic,0
0.43,350,0,7,0.08,35.62,synthetic,0
0.51,400,0,7,0.04,52.56,synthetic,0
0.35,0,400,7,0.02,52.62,synthetic,1
0.46,0,500,7,0.14,27.06,synthetic,1
0.44,400,0,28,0.11,43.99,synthetic,0
0.54,0,500,7,0.04,50.34,synthetic,1
0.52,500,0,7,0.06,30.65,synthetic,0
0.53,0,500,56,0.05,49.63,synthetic,1
0.51,500,0,56,0.12,63.06,synthetic,0
0.35,0,350,28,0.0,47.56,synthetic,1
0.52,350,0,28,0.1,63.12,synthetic,0
0.43,0,500,56,0.1,49.81,synthetic,1
0.37,350,0,56,0.17,48.96,synthetic,0
0.54,0,500,56,0.0,40.36,synthetic,1
0.43,350,0,7,0.14,45.05,synthetic,0
0.44,0,400,56,0.08,34.62,synthetic,1
0.45,0,500,7,0.2,57.86,synthetic,1
0.51,500,0,7,0.09,47.45,synthetic,0
0.35,350,0,7,0.08,55.83,synthetic,0
0.44,500,0,56,0.07,21.23,synthetic,0
0.55,350,0,7,0.07,30.44,synthetic,0
0.52,0,350,56,0.04,38.63,synthetic,1
0.35,500,0,56,0.05,53.17,synthetic,0
0.39,350,0,28,0.0,32.69,synthetic,0
0.35,0,500,28,0.05,32.65,synthetic,1
0.35,350,0,28,0.06,18.58,synthetic,0
0.38,0,500,28,0.04,15.82,synthetic,1
0.36,0,500,28,0.14,49.38,synthetic,1
0.53,0,500,7,0.04,51.96,synthetic,1
0.52,500,0,28,0.03,52.18,synthetic,0
0.35,0,500,28,0.02,53.89,synthetic,1
0.52,0,400,7,0.18,45.78,synthetic,1
0.35,400,0,56,0.02,63.12,synthetic,0
0.35,0,400,7,0.03,63.12,synthetic,1
0.46,500,0,7,0.17,36.21,synthetic,0
0.52,0,500,28,0.0,31.9,synthetic,1
0.53,500,0,56,0.13,38.66,synthetic,0
0.37,400,0,56,0.03,25.56,synthetic,0
0.51,0,500,56,0.11,37.01,synthetic,1
0.37,0,350,28,0.11,23.33,synthetic,1
0.35,400,0,7,0.02,29.99,synthetic,0
0.44,0,350,28,0.14,44.96,synthetic,1
0.53,0,500,7,0.12,56.18,synthetic,1
0.53,350,0,56,0.04,51.39,synthetic,0
0.44,0,400,28,0.05,32.74,synthetic,1
0.54,400,0,56,0.0,41.67,synthetic,0
0.45,400,0,56,0.13,23.97,synthetic,0
0.43,400,0,28,0.08,25.43,synthetic,0
0.44,0,500,28,0.15,37.5,synthetic,1
0.53,350,0,56,0.14,20.39,synthetic,0
0.35,500,0,7,0.02,42.65,synthetic,0
0.35,350,0,28,0.03,35.76,synthetic,0
0.35,0,350,7,0.03,38.28,synthetic,1
0.35,400,0,7,0.08,42.78,synthetic,0
0.35,0,500,56,0.04,48.17,synthetic,1
0.55,350,0,28,0.04,21.74,synthetic,0
0.44,0,400,28,0.05,24.82,synthetic,1
0.52,400,0,28,0.2,25.38,synthetic,0
0.36,500,0,7,0.05,33.87,synthetic,0
0.45,500,0,56,0.19,37.68,synthetic,0
0.53,350,0,7,0.2,58.27,synthetic,0
0.43,400,0,28,0.0,53.07,synthetic,0
0.53,350,0,7,0.17,49.12,synthetic,0
0.52,400,0,7,0.06,51.44,synthetic,0
0.52,0,350,56,0.2,46.06,synthetic,1
0.44,0,350,7,0.1,14.1,synthetic,1
0.35,400,0,7,0.0,52.05,synthetic,0
0.37,500,0,56,0.17,61.28,synthetic,0
0.37,0,500,56,0.03,46.28,synthetic,1
0.55,500,0,7,0.12,63.12,synthetic,0
0.54,0,500,7,0.0,25.25,synthetic,1
0.44,400,0,7,0.09,63.12,synthetic,0
0.35,0,500,56,0.0,30.55,synthetic,1
0.35,0,400,56,0.09,36.1,synthetic,1
